,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
changeset_duration_ratio_in_sec_scaled,-0.007979444190684892,0.1662028224085912,-0.047201533030404516,-0.021300893357857127,0.023728084378566557,0.44923009593321805,0.147348222424748,-0.03611572634699735,0.10816373926980384,0.12376013892582532,0.05735542697607949,0.060003342927881995,-0.13860779276866692,0.0371533558525507,-0.05149408840507415,-0.11657697660536463,-0.0835843711039776,0.1604274574178233,-0.1843230129106167,0.08975830518549788,0.10450921553719926,-0.11185032172861568
josm_changeset_ratio_scaled,0.1412481601416504,0.02606860153215422,-0.007480996456718064,0.048572911947139266,-0.07910542555730984,0.00855375336808626,0.04296933753241234,0.08730156320309067,-0.13835089950025212,0.033366392236840646,0.3046672458551633,0.03992142329681923,0.6032705269727586,-0.31846736120152663,0.0952418266448898,0.23825216352189718,0.2392370560473672,-0.10685437718970502,0.011917754204373186,-0.06885602452973245,-0.043366246240652224,0.09403564717809905
id_changeset_ratio_scaled,-0.03918796836883927,-0.23495955511509173,-0.07862806055267019,0.045636902256479615,0.033967932377991276,-0.37054666166315015,-0.07274808849808467,-0.03862521284130152,0.042524903696168015,-0.10286878810645056,-0.19267564447242003,-0.11206430372923208,-0.30072191562448747,0.15703075645813233,0.03592936322739895,-0.009263680888148112,-0.0913317448517388,-0.07957934628792905,0.1184589084485635,-0.08830257340042781,-0.014880533851376835,0.00027902898014985615
streetcomplete_changeset_ratio_scaled,0.004858148475979382,0.09441286010657497,-0.01431749982844692,-0.29800507580302416,0.32870690931964,0.19467875227678313,0.09848174721254642,0.12533996923154483,0.06895810645083511,-0.07409133077038968,-0.055089042561398856,-0.03272229763272021,0.07228913672822478,-0.05252687054708661,-0.18149363335365223,0.03705075038546613,-0.12966447157009225,-0.013028443114907647,-0.04943695750936649,0.04865540024753291,0.02433667129943295,-0.02345680573367019
other_id_changeset_ratio_scaled,-0.05864541126099223,0.20256083616293424,0.11016076994925926,0.10784823780459932,-0.20242391957094616,0.31266843052270915,-0.008810782403420573,-0.10028233723327622,0.003337987414200955,0.14956869715861812,0.04808260033673247,0.12837687780154758,-0.12337824657191146,0.07678123220685593,0.008026468986303683,-0.1869389230710517,0.022712128918269785,0.18281048279156,-0.11914852899313329,0.1246233608825063,0.03338182521829018,-0.053186607872809176
comment_length_ratio_scaled,0.010200020809869518,-0.19354496352370917,0.12271922861666,0.015133229650917786,0.03980912413648401,-0.06918407420292903,0.021270094780754003,0.14316727346965036,0.05053328103615348,0.02813100679449991,0.08598575198887275,-0.2845024409811695,0.03638154372476282,-0.10224895153227034,-0.14820027340837494,0.00847232680068938,-0.08631487088505452,-0.09384839918333565,0.24829087432626404,0.7759301230928635,0.02298848706005347,-0.15428607507576172
changesets_per_edit_day_scaled,0.12647064342447034,-0.08947042632156858,0.03477034885357456,-0.11547701586438162,0.2440945370409294,-0.09448981796620379,-0.006571378632587757,0.021215363774274167,0.12432871166755448,0.01840928552776994,-0.28993278092663377,0.32834284922842766,0.13751701584831771,-0.1435410959105288,0.3386997523601,0.13038373566475492,-0.25878372957091444,0.11109154812815542,-0.07511791538302084,0.04997440843936751,-0.07210606725018341,-0.2116028547488332
avg_days_valid_per_edit_scaled,-0.047502201057405026,0.16770969077067938,0.025387444677543534,0.13391423170313438,-0.073527604816346,-0.0672856542792787,0.06992615486539641,-0.11257005511392543,0.0574710715325501,-0.06510694684032958,0.20567043598726542,0.4289850242931943,0.07667217647721758,-0.02067475984198871,-0.010298619271586488,-0.07126586646125162,-0.18724471686673155,-0.1872321197904419,0.3358176887094619,0.029236528060929284,0.38055162675599363,-0.12481151522413286
active_weeks_scaled,0.2342787598199062,0.15736351622008354,0.007948335947929626,-0.1312610208959613,-0.09747576328861075,-0.07866982420290086,0.051822413805256214,0.028656211436212206,-0.17792813506896166,-0.13356185867042117,-0.03911214660951426,-0.012143693380112447,-0.11171380204196497,0.03284951583708853,-0.023542720781678052,-0.09198230158771839,0.09094885981808619,-0.005297397474990463,0.0760310001127987,0.07294317097895585,0.07806255336909235,0.06311041626583201
days_to_50_scaled,-0.19605202019196452,0.04868922640393917,0.018036787245167066,-0.1553128764050743,-0.1380868856208361,-0.10547040314709333,0.09282387662442931,0.17713321575378826,-0.23725429052340982,0.025914224556083644,0.15690241255005313,-0.003539543286797519,-0.1365648787950608,-0.15930005385695128,-0.035347297990425935,-0.040191457712607834,0.009248858802915157,0.045898441179169164,-0.11028861919696498,-0.040866097639292685,-0.2523845663812348,-0.13846171217216496
days_to_100_scaled,-0.2094728039063001,0.029607634729026975,0.014579122438227092,-0.15530831046407526,-0.12803246351649447,-0.10157781254815225,0.10873918517917672,0.14852151869100555,-0.22736809272371608,0.00788517936814462,0.1422620638813338,-0.004234972226966574,-0.12727148681260214,-0.14520340650768532,-0.021158505759363865,-0.046454825199245285,0.01434780684419757,0.042024085761115146,-0.09196941222627555,-0.022763057807714822,-0.2002995059817969,-0.11752013617612247
frontload_ratio_scaled,-0.15787191324047686,-0.08768521094573216,-0.011925220129591458,0.030896123307166217,0.055490300877593955,-0.018055697000411628,0.2974706597699479,0.13594557490719236,-0.12571773715702544,0.18869598433761414,-0.2903403715696518,0.1645728299086248,0.17570898385414985,0.30683164598795176,-0.06558754845137865,-0.06632800254602646,0.29396089939973846,-0.017701300038051045,0.08812920801137943,0.0639647973617703,0.06505171623451855,0.0033395529387992974
early_days_ratio_scaled,-0.16739172697513138,-0.10995290439693638,-0.008957691783966994,0.0307765828851556,0.04212545058239667,-0.02358347221532215,0.31105619777984594,0.1611373536864538,-0.1461225905566361,0.19991662025783902,-0.24390519910575723,0.1538598728967329,0.15316844483103978,0.23712030446183888,-0.047890980159587884,-0.05564134696619512,0.23745560753958586,-0.010834046074778985,0.058794286639246025,0.0444827953756177,0.017903416647820965,-0.019584192356657273
activity_density_scaled,0.20908795486006015,0.06267102245266548,0.039442422229690466,-0.12620791113230737,-0.0629526564891213,-0.11732962396453087,-0.15429385574394328,0.23965923526449115,0.01676395262312648,0.3344114425314757,0.09770025949696497,0.10638115915967346,-0.1311201698871755,0.03384345597070196,-0.007798314125030674,0.004994955027324337,0.0068334857065913,-0.013642691533605958,0.02200773585508317,0.0003727947856520149,0.11878884846982175,0.03579290532649785
edits_per_span_day_scaled,0.2707349336188578,0.017208352973790697,0.020418946314464156,0.031016547071522606,0.015568924902080561,-0.03454388337256821,-0.05136073348877425,0.1961020999319499,-0.0005872335749952662,0.20063821120120695,0.004066245577239121,0.05241021514951022,-0.02961912391208057,-0.025804008141217166,-0.01599751311312693,0.011570961172386015,-0.04016802238046123,0.015778206704943183,-0.033471382676760905,-0.036131440707496944,-0.08155962449894147,-0.07755707917282258
